"","Id","Name","Year","WebId"
"98",99111199,"BAMFIELD","1903",230
"99",99111200,"BAMFIELD EAST","1959",231
"100",99111201,"BAMFIELD WEST","1955",232
"101",99111202,"BANKEIR","1954",986
"102",99111203,"BANKIER CHAIN LAKE","1974",987
"103",99111204,"BARKERVILLE","1888",568
"104",99111205,"BARRIERE","1955",1235
"105",99111206,"BARRIERE NORTH","1970",1236
"106",99111207,"BAYNES LAKE KOOTENAY RIVER","1986",1167
"107",99111208,"BEAR CREEK","1910",17
"108",99111209,"BEARSKIN LAKE","1983",1486
"109",99111210,"BEATTON RIVER","1977",1394
"110",99111211,"BEATTON RIVER A","1944",1395
"111",99111212,"BEAVER LAKE","1894",18
"112",99111213,"BEAVERDELL","1925",1077
"113",99111214,"BEAVERDELL NORTH","1975",1078
"114",99111215,"BECHER BAY","1956",19
"115",99111216,"BELLA BELLA","1933",378
"116",99111217,"BELLA BELLA A","2006",44766
"117",99111218,"BELLA BELLA SHEARWATER","1960",379
"118",99111219,"BELLA COOLA","1895",380
"119",99111220,"BELLA COOLA A","1983",381
"120",99111221,"BELLA COOLA BC HYDRO","1961",382
"121",99111222,"BENNETT","1974",1487
"122",99111223,"BENSON LAKE","1959",233
"123",99111224,"BIG CREEK","1893",507
"125",99111225,"BIG OLIVER CREEK","1973",457
"126",99111226,"BIG WHITE","1981",1079
"127",99111227,"BIG WHITE MTN LODGE","1965",1080
"128",99111228,"BILLINGS","1984",1100
"129",99111229,"BIRCHBANK","1924",1101
"130",99111230,"BIRKENHEAD LAKE","1983",936
"131",99111231,"BLACK CREEK","1964",139
"132",99111232,"BLACK CREEK SE","2006",45507
"135",99111233,"BLACKCOMB MOUNTAIN 1540","1983",700
"136",99111234,"BLACKCOMB MOUNTAIN 1860","1981",715
"137",99111235,"BLACKDOME MOUNTAIN","1986",498
"138",99111236,"BLACKWATER CREEK","1989",1396
"139",99111237,"BLAKEBURN","1973",988
"140",99111238,"BLIND CHANNEL","1956",140
"141",99111239,"BLUE RIVER A","1969",1237
"142",99111240,"BLUE RIVER CS","1997",8214
"143",99111241,"BLUE RIVER NORTH","1929",1238
"144",99111242,"BOAT BLUFF","1974",383
"145",99111243,"BOB QUINN","1974",1483
"146",99111244,"BOB QUINN AGS","1977",1484
"147",99111245,"BOB QUINN LAKE 2","1991",6947
"148",99111246,"BOBBIE BURNS","1981",1350
"149",99111247,"BONILLA ISLAND","1960",384
"150",99111248,"BONILLA ISLAND (AUT)","2002",8265
"151",99111249,"BONNINGTON FALLS","1924",1102
"152",99111250,"BOSS MOUNTAIN","1967",569
"153",99111251,"BOSTON BAR","1974",941
"154",99111252,"BOSTON BAR","1968",937
"155",99111253,"BOSTON BAR ALPINE","1985",940
"156",99111254,"BOSWELL","1911",1103
"157",99111255,"BOUNDARY LAKE","1982",1390
"158",99111256,"BOWEN ISL ARBUTUS BAY","1961",297
"159",99111257,"BOWEN ISLAND","1959",296
"160",99111258,"BOWEN ISLAND BOWEN BAY","1966",295
"161",99111259,"BOWEN ISLAND CATES BAY","1987",298
"162",99111260,"BOWEN ISLAND JOSEPHINE RIDGE","1992",6815
"163",99111261,"BOWEN ISLAND KILLARNEY LAKE","1992",6814
"164",99111262,"BOWEN ISLAND MILLERS LDG","1972",290
"165",99111263,"BOWEN ISLAND SUNSET PARK","1992",6816
"166",99111264,"BOWRON LAKE","1974",564
"167",99111265,"BOWSER","1957",141
"168",99111266,"BRALORNE","1924",508
"169",99111267,"BRENTWOOD BAY 2","1987",20
"170",99111268,"BRENTWOOD CLARKE ROAD","1972",21
"171",99111269,"BRENTWOOD W SAANICH RD","1960",22
"172",99111270,"BRIDESVILLE","1957",1081
"173",99111271,"BRIDGE LAKE","1975",1239
"174",99111272,"BRIDGE LAKE 2","1980",1240
"175",99111273,"BRIDGE RIVER","1935",571
"176",99111274,"BRIDGE RIVER","1924",570
"177",99111275,"BRISCO","1924",1352
"178",99111276,"BRITANNIA BEACH FURRY CR","1913",299
"179",99111277,"BRONSON CREEK","1989",1488
"180",99111278,"BROOKMERE","1986",989
"181",99111279,"BRUCEJACK LAKE","1988",458
"182",99111280,"BUCCANEER BAY","1927",300
"183",99111281,"BUCKINGHORSE RIVER","1973",1450
"184",99111282,"BUFFALO LAKE","1962",1243
"185",99111283,"BUGABOO CREEK LODGE","1972",1353
"186",99111284,"BULL HARBOUR","1921",234
"187",99111285,"BULLMOOSE","1983",1397
"188",99111286,"BUNTZEN BAY","1971",720
"189",99111287,"BUNTZEN LAKE","1924",721
"190",99111288,"BURNABY BC INST TECHNOL","1966",722
"191",99111289,"BURNABY BRANTFORD","1960",723
"192",99111290,"BURNABY CAPITOL HILL","1960",724
"193",99111291,"BURNABY CARIBOO DAM","1979",718
"194",99111292,"BURNABY CURTIS","1968",725
"195",99111293,"BURNABY EAST","1978",719
"196",99111294,"BURNABY EAST","1955",726
"197",99111295,"BURNABY EDMONDS","1960",727
"198",99111296,"BURNABY LAKE","1960",728
"199",99111297,"BURNABY LAKE WEST","1964",729
"200",99111298,"BURNABY METROTOWN","1987",671
"201",99111299,"BURNABY MTN TERMINAL","1958",730
"202",99111300,"BURNABY SIMON FRASER U","1965",731
"203",99111301,"BURNABY SUNCREST","1955",732
"204",99111302,"BURNABY VANCOUVER HTS","1960",733
"205",99111303,"BURNS LAKE","1969",572
"206",99111304,"BURNS LAKE 10 SOUTH","1992",6825
"207",99111305,"BURNS LAKE DECKER LAKE","1949",573
"208",99111306,"BURNS LAKE DECKER LAKE","1990",574
"209",99111307,"BURQUITLAM VANCOUVER GOLF COURSE","1926",734
"210",99111308,"BUTEDALE","1974",385
"211",99111309,"CACHE CREEK 16 MILE","1982",1244
"212",99111310,"CALLAGHAN VALLEY","2005",43500
"219",99111311,"CAMERON LAKE","1924",142
"220",99111312,"CAMILLE LAKE","1980",575
"221",99111313,"CAMPBELL LAKE","1919",143
"222",99111314,"CAMPBELL R LAKEVIEW FC","1970",148
"223",99111315,"CAMPBELL RIVER","1936",144
"224",99111316,"CAMPBELL RIVER A","1965",145
"225",99111317,"CAMPBELL RIVER BCFS","1969",146
"226",99111318,"CAMPBELL RIVER BCHPA GEN","1972",147
"227",99111319,"CAMPBELL RIVER STP","1982",149
"228",99111320,"CAMPBELL RIVER SURFSIDE","1981",150
"229",99111321,"CANAL FLATS","1924",1169
"230",99111322,"CANAL FLATS RANGER STN","1962",1168
"231",99111323,"CANIM LAKE","1958",576
"232",99111324,"CANIM LAKE EAGLE CREEK","1987",1245
"233",99111325,"CANOE POINT","1910",1246
"234",99111326,"CANOE RIVER","1975",1354
"235",99111327,"CAPE BEALE LIGHT","1984",235
"236",99111328,"CAPE LAZO","1935",151
"237",99111329,"CAPE MUDGE","1978",152
"239",99111330,"CAPE SCOTT","1965",237
"240",99111331,"CAPE SCOTT","1897",236
"241",99111332,"CAPE ST JAMES","1925",352
"242",99111333,"CAPE ST JAMES CS","1994",10901
"243",99111334,"CAPILANO INTAKE","1924",301
"244",99111335,"CARIBOO LODGE","1975",1355
"245",99111336,"CARMANAH","1891",238
"246",99111337,"CARMANAH POINT","1968",239
"247",99111338,"CARMI","1924",1082
"248",99111339,"CARNATION CREEK CDF","1971",240
"249",99111340,"CASSIAR","1954",1451
"250",99111341,"CASSIAR MINE","1960",1452
"251",99111342,"CASTLE ROCK 6 NORTH","1991",5017
"252",99111343,"CASTLEGAR","1916",1104
"253",99111344,"CASTLEGAR A","1966",1105
"254",99111345,"CASTLEGAR BCHPA DAM","1969",1106
"255",99111346,"CASTLEGAR ROBSON PUMPHOUSE","1998",30434
"256",99111347,"CATFISH CREEK","1986",556
"257",99111348,"CATHEDRAL POINT (AUT)","2002",8264
"258",99111349,"CAWSTON SIMILKAMEEN","1979",990
"259",99111350,"CECIL LAKE CDA","1961",1399
"260",99111351,"CEDARVALE","1973",448
"261",99111352,"CELISTA","1986",1247
"262",99111353,"CENTRAL SAANICH ISL VIEW","1970",24
"263",99111354,"CENTRAL SAANICH TANNER","1966",23
"264",99111355,"CENTRAL SAANICH VEYANESS","1963",25
"265",99111356,"CHARLIE CREEK RANCH","1975",510
"266",99111357,"CHARLIE LAKE","1988",1398
"267",99111358,"CHARLOTTE LAKE","1981",509
"268",99111359,"CHASE","1952",1248
"269",99111360,"CHATHAM POINT","1958",153
"270",99111361,"CHEEKYE","1960",302
"271",99111362,"CHEMAINUS","1919",26
"272",99111363,"CHEMAINUS BARE POINT","1979",2
"273",99111364,"CHERRYVILLE","1959",1249
"274",99111365,"CHETWYND A","1982",1400
"275",99111366,"CHETWYND BCFS","1970",1401
"276",99111367,"CHETWYND SUKUNKA","1972",1402
"277",99111368,"CHIEF LAKE","1970",577
"278",99111369,"CHILKO LAKE","1956",511
"279",99111370,"CHILLIWACK","1879",735
"280",99111371,"CHILLIWACK CITY","1960",736
"281",99111372,"CHILLIWACK GIBSON ROAD","1961",737
"282",99111373,"CHILLIWACK MARBLEHILL CK","1970",738
"283",99111374,"CHILLIWACK R CENTRE CRK","1961",739
"284",99111375,"CHILLIWACK R FOLEY CREEK","1966",740
"285",99111376,"CHILLIWACK R HATCHERY","1961",716
"286",99111377,"CHILLIWACK R TAMAHI CRK","1961",742
"287",99111378,"CHILLIWACK WESTVIEW","1981",743
"288",99111379,"CHILLIWACK YALE RD EAST","1969",744
"289",99111380,"CHINOOK COVE","1914",1250
"290",99111381,"CHINOOK COVE POSBY LAKE","1989",1251
"291",99111382,"CHRISTIAN VALLEY","1972",1083
"293",99111383,"CHURCHILL COPPER ONE","1974",1453
"294",99111384,"CHUTE LAKE","1928",991
"295",99111385,"CINOLA MINE SITE","1980",353
"296",99111386,"CLAYOQUOT","1896",241
"297",99111387,"CLEARWATER","1976",1252
"298",99111388,"CLEARWATER AXEL CRK","1984",1242
"299",99111389,"CLEARWATER BLACKPOOL","1984",1241
"300",99111390,"CLEARWATER CANDLE CRK","1985",1213
"301",99111391,"CLEARWATER SPAHATS CREEK","1990",1218
"302",99111392,"CLEARWATER SUNSHINE","1980",1253
"303",99111393,"CLINTON","1962",1254
"304",99111394,"CLINTON (AUT)","1972",1255
"305",99111395,"CLOVERDALE","1953",745
"306",99111396,"CLOVERDALE CENTRE","1962",746
"307",99111397,"CLOVERDALE EAST","1964",747
"308",99111398,"CLOVERVALLEY FRYS CORNER","1974",748
"309",99111399,"CLOWHOM FALLS","1932",303
"310",99111400,"COAL HARBOUR RUPERT IN","1968",154
"311",99111401,"COAL RIVER","1992",6846
"312",99111402,"COBBLE HILL","1990",27
"313",99111403,"COBBLE HILL DELOUME ROAD","1970",28
"314",99111404,"COLD FISH LAKE","1955",1489
"315",99111405,"COLE BAY","1923",29
"316",99111406,"COLLEYMOUNT","1981",512
"317",99111407,"COLLINS LAKE","1958",459
"318",99111408,"COLUMBIA GARDENS","1937",1107
"319",99111409,"COLUMBIA GARDENS NORTH","1970",1108
"320",99111410,"COLWOOD HATLEY DR","1981",30
"321",99111411,"COMOX A","1944",155
"322",99111412,"COMOX PCC","1984",156
"323",99111413,"CONUMA RIVER HATCHERY","1989",242
"324",99111414,"COOMBS","1960",157
"325",99111415,"COPPER CANYON","1957",31
"326",99111416,"COQUITLAM","1901",749
"327",99111417,"COQUITLAM COMO LAKE AVE","1973",750
"328",99111418,"COQUITLAM LAFARGE","1994",27007
"329",99111419,"COQUITLAM LAKE","1924",751
"330",99111420,"COQUITLAM MUNDY PARK","1988",752
"331",99111421,"COQUITLAM MUNDY PARK 2","1989",717
"332",99111422,"COQUITLAM MUNDY PARK 3","1992",6829
"333",99111423,"COQUITLAM NORTH","1991",6826
"334",99111424,"CORBIN","1977",1170
"335",99111425,"CORDOVA BAY","1951",32
"336",99111426,"CORDOVA BAY CLAREMOUNT","1993",6808
"337",99111427,"CORDOVA BAY SOUTH","1972",33
"338",99111428,"CORTES ISL SUTIL POINT","1973",159
"339",99111429,"CORTES ISLAND","1947",158
"340",99111430,"CORTES ISLAND TIBER BAY","1960",160
"341",99111431,"COURTENAY GRANTHAM","1960",161
"342",99111432,"COURTENAY MEADOWBROOK","1987",135
"343",99111433,"COURTENAY PUNTLEDGE","1984",162
"344",99111434,"COURTENAY PUNTLEDGE BCHP","1921",163
"345",99111435,"COURTENAY SANDWICK","1989",164
"346",99111436,"COWICHAN","1904",34
"347",99111437,"COWICHAN BAY CHERRY POINT","1913",35
"348",99111438,"COWICHAN BAY SOUTHEAST","1989",36
"349",99111439,"COWICHAN LAKE FORESTRY","1949",37
"350",99111440,"COWICHAN LAKE HATCHERY","1931",38
"351",99111441,"COWICHAN LAKE NITINAT","1959",39
"352",99111442,"CRANBERRY RIVER","1973",460
"353",99111443,"CRANBROOK","1901",1172
"354",99111444,"CRANBROOK A","1938",1173
"355",99111445,"CRANBROOK A","1968",1174
"356",99111446,"CRANBROOK CITY","1979",1171
"357",99111447,"CRANBROOK MAYOOK","1974",1175
"358",99111448,"CRANBROOK MT BAKER","1972",1176
"359",99111449,"CRANBROOK SE","1984",1177
"360",99111450,"CRAWFORD BAY","1907",1109
"361",99111451,"CRESCENT SPUR","1994",26989
"362",99111452,"CRESCENT VALLEY","1939",1110
"363",99111453,"CRESTON","1912",1111
"364",99111454,"CRESTON CAMPBELL SCIENTIFIC","1993",6838
"365",99111455,"CRESTON SOUTHEAST","1990",1112
"366",99111456,"CRESTON WPCC","1980",1113
"367",99111457,"CRISS CREEK","1988",1256
"368",99111458,"CROFTON","1921",41
"369",99111459,"CULTUS LAKE","1931",754
"370",99111460,"CULTUS LAKE LINDELL","1981",755
"371",99111461,"CUMBERLAND","1893",165
"372",99111462,"CUMSHEWA ISLAND","1993",6822
"373",99111463,"CYPRESS BOWL","1984",756
"374",99111464,"CYPRESS BOWL 1425","1999",28013
"377",99111465,"CYPRESS BOWL NORTH","2005",44023
"378",99111466,"CYPRESS BOWL SOUTH","2005",44024
"379",99111467,"CYPRESS BOWL UPPER","1985",757
"380",99111468,"DAISY LAKE DAM","1968",304
"381",99111469,"DARFIELD","1956",1257
"382",99111470,"DAWSON CREEK","1950",1403
"383",99111471,"DAWSON CREEK A","1968",1404
"386",99111472,"DAWSON CREEK RADIO BCN","1957",1405
"387",99111473,"DAWSONS LANDING","1973",386
"388",99111474,"DEAD TREE POINT","1939",354
"389",99111475,"DEASE LAKE","1944",1454
"390",99111476,"DEASE LAKE (AUT)","1993",6845
"391",99111477,"DEASE LAKE LWIS","2002",30909
"392",99111478,"DEER PARK","1924",1114
"393",99111479,"DELTA ANNIEVILLE","1971",758
"394",99111480,"DELTA BEACH GROVE","1984",759
"396",99111481,"DELTA LADNER EAST","1971",760
"397",99111482,"DELTA LADNER SOUTH","1971",761
"398",99111483,"DELTA OLIVER SLOUGH","1971",762
"399",99111484,"DELTA PEBBLE HILL","1961",763
"400",99111485,"DELTA SUNSHINE HILLS","1987",764
"401",99111486,"DELTA TSAWWASSEN","1959",765
"402",99111487,"DELTA TSAWWASSEN BEACH","1971",766
"403",99111488,"DENISON PLANT SITE","1982",1406
"404",99111489,"DENISON SHERIFF","1981",1407
"405",99111490,"DENMAN ISLAND","1906",166
"406",99111491,"DENMAN ISLAND 2","1989",168
"407",99111492,"DENMAN ISLAND EAST SHORE","1987",167
"408",99111493,"DEROCHE","1984",767
"409",99111494,"DESERTED BAY","1981",305
"410",99111495,"DISCOVERY ISLAND","1998",27226
"411",99111496,"DOG CREEK","1973",578
"412",99111497,"DOG CREEK A","1944",579
"413",99111498,"DOME CREEK","1970",581
"414",99111499,"DOME CREEK","1918",580
"415",99111500,"DONALD","1891",1356
"416",99111501,"DOUGLAS LAKE","1979",992
"418",99111502,"DOWNIE SLIDE BCHPA","1977",1357
"419",99111503,"DRYAD POINT","1977",387
"420",99111504,"DUNCAN","1926",42
"421",99111505,"DUNCAN BAY","1957",169
"422",99111506,"DUNCAN BCHPA VIT","1972",43
"423",99111507,"DUNCAN EAST","1960",44
"424",99111508,"DUNCAN FORESTRY","1958",45
"425",99111509,"DUNCAN GLENORA","1994",26990
"426",99111510,"DUNCAN KELVIN CREEK","1987",46
"427",99111511,"DUNCAN LAKE DAM","1963",1115
"428",99111512,"DUNSTER","1974",582
"429",99111513,"DUNSTER 2","1994",27008
"430",99111514,"EAGLE BAY","1924",1258
"431",99111515,"EAST CRACROFT ISL","1985",388
"432",99111516,"EAST LILLOOET","1957",942
"433",99111517,"EAST SOOKE ANDERSON COVE","1966",47
"434",99111518,"EDDONTENAJON","1972",1490
"435",99111519,"EDEN LAKE","1973",355
"436",99111520,"EDENBANK SARDIS","1977",753
"437",99111521,"EDGE HILLS BUTCHER CREEK","1988",935
"438",99111522,"EDGEWOOD","1951",1116
"439",99111523,"EGG ISLAND","1965",389
"440",99111524,"ELBOW LAKE","1981",768
"441",99111525,"ELK LAKE","1957",48
"442",99111526,"ELK LAKE 2","1980",49
"443",99111527,"ELK LAKE JEUNE LANDING","1924",243
"444",99111528,"ELKFORD","1972",1178
"445",99111529,"ELKHART LODGE HIGHWAY 97C","1992",6835
"446",99111530,"ELKINS CREEK RANCH","1974",513
"447",99111531,"ELKO","1923",1179
"448",99111532,"ENDAKO MINE","1973",583
"449",99111533,"ENDAKO SAVORY","1961",584
"450",99111534,"ENDERBY","1893",1259
"451",99111535,"ENDERBY ASHTON CREEK","1965",1260
"452",99111536,"ENDERBY VALECAIRN FARM","1966",1261
"453",99111537,"ENGEN","1957",585
"454",99111538,"ENTRANCE ISLAND","1914",170
"455",99111539,"ENTRANCE ISLAND","1987",132
"456",99111540,"ENTRANCE ISLAND CS","1992",29411
"457",99111541,"EQUITY SILVER","1981",461
"458",99111542,"ESQUIMALT","1872",50
"459",99111543,"ESQUIMALT HARBOUR","1957",52
"460",99111544,"ESQUIMALT LAGOON","1976",51
"461",99111545,"ESSONDALE","1960",769
"462",99111546,"ESTEVAN POINT","1908",244
"463",99111547,"ESTEVAN POINT CS","1997",8040
"464",99111548,"ETHELDA BAY","1957",390
"465",99111549,"EUCHINIKO TITETOWN","1970",514
"466",99111550,"FALKLAND SALMON VALLEY","1959",1262
"467",99111551,"FALKLAND SPANISH LAKE","1975",1263
"468",99111552,"FALLS RIVER","1931",391
"469",99111553,"FANNY ISLAND","2000",29733
"470",99111554,"FARRELL CREEK","1960",1408
"471",99111555,"FAUQUIER","1913",1117
"472",99111556,"FAUQUIER 2","1990",1118
"473",99111557,"FERGUSON","1908",1119
"474",99111558,"FERNIE","1913",1180
"475",99111559,"FERNIE 2","1924",1182
"476",99111560,"FERNIE SNOW VALLEY","1975",1181
"477",99111561,"FIELD","1917",1358
"478",99111562,"FINLAY FORKS","1945",1409
"479",99111563,"FINLAY FORKS","1981",1410
"480",99111564,"FINLAY FORKS 2","1989",1386
"481",99111565,"FINLAYSON ARM RD","1976",53
"482",99111566,"FIRVALE","1991",6941
"484",99111567,"FORDING RIVER CLODE CRK","1976",1183
"485",99111568,"FORDING RIVER COMINCO","1970",1184
"486",99111569,"FORT BABINE","1944",462
"487",99111570,"FORT FRASER","1964",586
"488",99111571,"FORT FRASER 13S","1970",587
"489",99111572,"FORT LANGLEY","1953",770
"490",99111573,"FORT LANGLEY TELEGRAPH TRAIL","2005",43723
"491",99111574,"FORT NELSON A","1937",1455
"492",99111575,"FORT NELSON ALPINE RD","1984",1456
"493",99111576,"FORT NELSON GARDINER CR","1984",1458
"494",99111577,"FORT NELSON UA","1999",8248
"495",99111578,"FORT ST JAMES","1895",588
"496",99111579,"FORT ST JAMES A","1979",589
"497",99111580,"FORT ST JOHN","1910",1411
"498",99111581,"FORT ST JOHN 8NW","1988",1388
"499",99111582,"FORT ST JOHN A","1942",1413
"500",99111583,"FORT ST JOHN PINEVIEW","1960",1414
"501",99111584,"FORT STEELE","1966",1185
"502",99111585,"FORWARD HARBOUR","1975",371
"503",99111586,"FRASER CAMP","1980",1481
"504",99111587,"FRASER LAKE NORTH SHORE","1965",558
"505",99111588,"FRASER LAKE NORTH SHORE","1969",557
"506",99111589,"FRENCH CREEK","1892",171
"507",99111590,"FT NELSON CHURCHILL MINE","1969",1457
"508",99111591,"FT STEELE DANDY CRK","1968",1186
"509",99111592,"FULTON LAKE","1960",464
"510",99111593,"GABRIOLA ISLAND","1967",172
"511",99111594,"GALIANO ISL BURRILL PT","1970",54
"512",99111595,"GALIANO ISLAND GCC","1956",56
"513",99111596,"GALIANO NORTH","1975",55
"514",99111597,"GALIANO SOUTH","1977",4
"515",99111598,"GALIANO SOUTH 2","1979",3
"516",99111599,"GALORE CREEK","1966",1491
"517",99111600,"GAMBIER HARBOUR","1962",306
"518",99111601,"GANG RANCH","1989",590
"519",99111602,"GANGES MANSELL RD","1975",57
"520",99111603,"GARIBALDI","1921",307
"521",99111604,"GATES STATION","1974",943
"522",99111605,"GENELLE","1962",1120
"523",99111606,"GENESEE RIVER","1971",392
"524",99111607,"GERMANSEN LANDING","1951",1415
"525",99111608,"GERRARD","1935",1121
"526",99111609,"GIBSONS","1949",308
"527",99111610,"GIBSONS GOWER POINT","1961",309
"528",99111611,"GILLIES CROSSING","1974",515
"529",99111612,"GISCOME","1970",591
"530",99111613,"GLACIER","1892",1361
"531",99111614,"GLACIER AVALANCHE RS","1957",1362
"532",99111615,"GLACIER NP MT FIDELITY","1969",1345
"533",99111616,"GLACIER NP ROGERS PASS","1965",1363
"534",99111617,"GLENEMMA","1914",993
"535",99111618,"GOLD RIVER","1958",245
"536",99111619,"GOLD RIVER TOWNSITE","1966",246
"537",99111620,"GOLDEN A","1902",1364
"538",99111621,"GOLDSTREAM LAKE","1894",58
"539",99111622,"GOLDSTREAM MEADOWS","1976",59
"540",99111623,"GOLDSTREAM RIVER","1982",1365
"541",99111624,"GOLDSTREAM RIVER BREWSTER CREEK","1991",1360
"542",99111625,"GOLDSTREAM RIVER STITT CREEK","1991",1366
"543",99111626,"GOOD HOPE LAKE","1973",1459
"544",99111627,"GRAHAM INLET","1973",1492
"545",99111628,"GRAND FORKS","1941",1084
"546",99111629,"GRAND FORKS A","1936",1085
"547",99111630,"GRAND FORKS PHOENIX","1970",1086
"548",99111631,"GRAND FORKS RAYFIELD","1909",1087
"549",99111632,"GRANISLE COPPER LTD","1974",465
"550",99111633,"GRANITE CREEK","1984",994
"551",99111634,"GRASMERE","1962",1187
"552",99111635,"GRASSY PLAINS","1957",516
"554",99111636,"GREEN ISLAND","1978",393
"555",99111637,"GREEN LAKE","1991",6945
"556",99111638,"GREENWOOD","1911",1088
"557",99111639,"GREY ISLET (AUT)","2005",8258
"559",99111640,"GRIFFIN LAKE","1975",1264
"560",99111641,"HAINES APPS NO 2","1956",1494
"561",99111642,"HALFMOON BAY","1973",310
"562",99111643,"HALFMOON BAY","1961",311
"563",99111644,"HALFMOON BAY MIDDLE PT","1961",312
"564",99111645,"HALFWAY RIVER","1965",1387
"565",99111646,"HANEY","1958",771
"566",99111647,"HANEY 532","1967",774
"567",99111648,"HANEY CORRL INSTN","1960",772
"568",99111649,"HANEY EAST","1959",773
"570",99111650,"HANEY UBC RF ADMIN","1961",776
"571",99111651,"HANEY UBC RF LOON LAKE","1962",777
"572",99111652,"HANEY UBC RF MARC","1945",672
"573",99111653,"HANEY UBC RF SPUR 17","1961",778
"574",99111654,"HANSON LAKE","1976",1188
"575",99111655,"HARDY ISLAND","1987",288
