"","Id","Name","Year","WebId"
"5",99111111,"LAHR A GERMANY","1977",6805
"9",99111112,"SOELLINGEN A GERMANY","1977",6806
"11",99111113,"100 MILE HOUSE","1970",1308
"12",99111114,"100 MILE HOUSE","1957",625
"13",99111115,"100 MILE HOUSE 6NE","1987",1309
"14",99111116,"108 MILE HOUSE","1970",626
"15",99111117,"108 MILE HOUSE ABEL LAKE","1987",559
"16",99111118,"108 MILE HOUSE WATSON LAKE","1987",1224
"17",99111119,"150 MILE HOUSE","1947",627
"18",99111120,"150 MILE HOUSE 7N","1969",628
"19",99111121,"70 MILE HOUSE","1974",1321
"20",99111122,"ABBOTSFORD","1956",701
"21",99111123,"ABBOTSFORD A","1944",702
"22",99111124,"ABBOTSFORD EAST","1960",703
"23",99111125,"ABBOTSFORD KING ROAD","1968",704
"24",99111126,"ABBOTSFORD UPPER SUMAS","1935",705
"25",99111127,"ABERFELDIE","1950",1166
"26",99111128,"ACTIVE PASS","1984",14
"27",99111129,"ADAMS LAKE SKWAAM BAY","1972",1225
"28",99111130,"ADDENBROKE ISLAND","1978",374
"29",99111131,"ADRA","1928",983
"30",99111132,"AGASSIZ CDA","1889",707
"31",99111133,"AGASSIZ CS","1988",706
"32",99111134,"AGASSIZ MOUNTAIN INSTITUTE","1986",708
"33",99111135,"AIYANSH","1924",452
"34",99111136,"AIYANSH 2SE","1974",453
"35",99111137,"ALBERNI BEAVER CREEK","1894",221
"36",99111138,"ALBERNI CITY RESERVOIR","1962",222
"37",99111139,"ALBERNI LUPSI CUPSI","1948",223
"38",99111140,"ALBERNI MCCOY LAKE","1958",224
"39",99111141,"ALBERNI ROBERTSON CREEK","1961",225
"40",99111142,"ALBERT HEAD","1971",15
"41",99111143,"ALBREDA","1973",1351
"42",99111144,"ALDERGROVE","1953",709
"43",99111145,"ALDERGROVE 2","1980",710
"44",99111146,"ALDERGROVE 48 AVENUE","1987",711
"45",99111147,"ALDERGROVE CENTRE","1986",699
"46",99111148,"ALERT BAY","1913",137
"47",99111149,"ALEXIS CREEK","1954",499
"48",99111150,"ALEXIS CREEK","1919",501
"49",99111151,"ALEXIS CREEK","1973",500
"50",99111152,"ALEXIS CREEK TAUTRI CRK","1961",502
"51",99111153,"ALEZA LAKE","1952",565
"52",99111154,"ALICE ARM","1948",375
"53",99111155,"ALICE ARM","1973",376
"54",99111156,"ALKALI LAKE","1910",566
"55",99111157,"ALLISON PASS","1958",938
"56",99111158,"ALLISON PASS DOH","1974",939
"57",99111159,"ALOUETTE LAKE","1924",712
"58",99111160,"ALOUETTE POWER HOUSE","1935",713
"59",99111161,"ALTA LAKE","1950",291
"60",99111162,"ALTA LAKE 2","1931",293
"61",99111163,"ALTA LAKE NORTHAIR MINE","1975",292
"62",99111164,"AMPHITRITE POINT","1958",226
"63",99111165,"AMPHITRITE POINT","1980",227
"64",99111166,"ANAHIM LAKE","1975",504
"65",99111167,"ANAHIM LAKE","1954",503
"66",99111168,"ANAHIM LAKE 5 MILE RANCH","1980",505
"67",99111169,"ANNACIS ISLAND","1954",714
"68",99111170,"ANVIL ISLAND","1956",294
"69",99111171,"ANYOX","1916",377
"70",99111172,"APEX MTN LODGE","1965",984
"71",99111173,"ARAWANA","1970",982
"72",99111174,"ARGENTA","1957",1099
"73",99111175,"ARMSTRONG","1912",1226
"74",99111176,"ARMSTRONG GRANDVIEW","1959",985
"75",99111177,"ARMSTRONG HULLCAR","1971",1227
"76",99111178,"ARMSTRONG NORTH","1972",1228
"77",99111179,"ARMSTRONG OTTER LAKE","1991",6943
"78",99111180,"ARRAS","1970",1391
"79",99111181,"ASH RIVER","1958",228
"80",99111182,"ASH RIVER GENERATING STN","1959",229
"81",99111183,"ASHCROFT","1912",1229
"82",99111184,"ASHCROFT","1973",1230
"84",99111185,"ASHCROFT M","1944",1232
"85",99111186,"ASHCROFT NORTH","1980",1231
"86",99111187,"ASHCROFT VENABLES VLY","1984",1233
"87",99111188,"ATLIN","1899",1485
"88",99111189,"ATNARKO PARKS CAMP","1979",506
"89",99111190,"AVOLA","1974",1234
"90",99111191,"BABINE LAKE FISHERIES","1912",454
"91",99111192,"BABINE LAKE HALIFAX BAY","1972",455
"92",99111193,"BABINE LAKE PINKUT CREEK","1969",456
"93",99111194,"BAKER MINE","1980",1392
"94",99111195,"BALDONNEL","1927",1393
"95",99111196,"BALDY HUGHES","1980",567
"96",99111197,"BALLENAS ISLAND","1967",138
"97",99111198,"BAMBERTON OCEAN CEMENT","1961",16
